embedding_row	input_index	clean_id	label	split	cluster_id	sequence_length	record_file
10	10	seq_11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	0	existing_challenge	seq_11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	332	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/11/11c7ca6b64281a748e2adc1fa566b7321ebe1a7f8fc7e4a3f8fdf9c6c029e45e.npy
11	11	seq_dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	0	existing_challenge	seq_dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	442	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/31/312db047a9deefc55f529d28e1121361266e3e2ddaf2fd11a565b9517e49015d.npy
12	12	seq_59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	0	existing_challenge	seq_59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	979	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/da/daa404f6138441826787edf2438ea1d3a2c410a37ff08599dbc54cf51abb5245.npy
13	13	seq_a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	0	existing_challenge	seq_a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	107	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/7b/7bba43dcd68ea72db81a336f4b7a4f859a8a570c07506101a329c440d37b62e5.npy
14	14	seq_2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	0	existing_challenge	seq_2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	529	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/fb/fb830222fe155a97174245723ed5f977febd10d0d89b1cf294983fbdceb8aefc.npy
15	15	seq_78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	0	existing_challenge	seq_78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	158	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/6f/6f16c2e4b6e5e58b6e877fcaf4d71c1c14f8fc534bf140f632dcc2527001f2c9.npy
16	16	seq_f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	0	existing_challenge	seq_f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	473	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/b8/b8ffee5d2268c44b1bfdbc73596dca744b46a4d47b34e10614038b104aa1c9d8.npy
17	17	seq_78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	0	existing_challenge	seq_78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	185	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/86/868cdbe26400a3c5be705fbc0012b0c027e83de54184fe741f51c7374c9e3033.npy
18	18	seq_c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	0	existing_challenge	seq_c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	81	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/a1/a1144feaf3d66213c633261a20eeb573901e685ad613d6da1990e92a504e9736.npy
19	19	seq_c9cde34f2fe143ee6689ac6ab5ca4d79269b153757ad1533106a5e63677f45d4	0	existing_challenge	seq_c9cde34f2fe143ee6689ac6ab5ca4d79269b153757ad1533106a5e63677f45d4	218	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/ad/add6d048a7f4470075ee68069e00ad64d87d96c111c87979c278758e85cbe2c9.npy
20	20	seq_36af7b0ac5462ac0fbab4c161014b4d809fa66b88329f3d72b933bb3a7003b43	0	existing_challenge	seq_36af7b0ac5462ac0fbab4c161014b4d809fa66b88329f3d72b933bb3a7003b43	311	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/32/327fa3f66eafedb65b9254d7fe6568bf5632060db8dee5bf3604f5dbc2e11236.npy
21	21	seq_7da4f77ea2ac2caee5affdc91e40995998a9a80776531c974cf36ecb67265db3	0	existing_challenge	seq_7da4f77ea2ac2caee5affdc91e40995998a9a80776531c974cf36ecb67265db3	312	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/65/6565eff4ef14de9546db0b434c386225599ab73100854ed4f7c82b7d782884b6.npy
22	22	seq_674e6d6f876fb97eeb57d84b64db940b31044ec78a41ad6cb4f28fc80701c705	0	existing_challenge	seq_674e6d6f876fb97eeb57d84b64db940b31044ec78a41ad6cb4f28fc80701c705	341	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/b6/b6d608228fd53bd80f377fdf22b2424a3f2f11cbfa55e5b4f25d3e9af7660f2f.npy
23	23	seq_720c211ee0cbd1beef11e02707607b6d960f6508037dc348373685c82d5ed362	0	existing_challenge	seq_720c211ee0cbd1beef11e02707607b6d960f6508037dc348373685c82d5ed362	323	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/54/549966cd03e002829c934e35a9d5ae7ed57a58396b59848cd189f8de5671c341.npy
24	24	seq_5e8cc6c047413a26c6088165f8478f7a00cf4dfbdacebb34b66ad774900ff6dd	0	existing_challenge	seq_5e8cc6c047413a26c6088165f8478f7a00cf4dfbdacebb34b66ad774900ff6dd	128	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/8a/8a68728b7eaccbd592a2598bf1ad9c3bd7b132e8b257f7b066bc0e84bf7cff5b.npy
25	25	seq_79fbda06bcc8ef8d8f7ae05760bbc6ccb3f0db201c99f93b6be73682b0cf8bb0	0	existing_challenge	seq_79fbda06bcc8ef8d8f7ae05760bbc6ccb3f0db201c99f93b6be73682b0cf8bb0	397	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/52/5251f8fc5712e390cc95c813caa78f5ad0a16de620303936a60ec1a8e34f4f32.npy
26	26	seq_bc0c8f006b6d0c0ffa73eff27e838a4b34f9307061cdcd5a05453bc4c76d77b3	0	existing_challenge	seq_bc0c8f006b6d0c0ffa73eff27e838a4b34f9307061cdcd5a05453bc4c76d77b3	301	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/6d/6d095860b6cc1c04c6ca4eab96480977d7a81a00ddf32d4c0f3742ed01335307.npy
27	27	seq_13638e5c1f98d19ad103c79ad442eeccde8c182cf0befef18276d6c8423d26d8	0	existing_challenge	seq_13638e5c1f98d19ad103c79ad442eeccde8c182cf0befef18276d6c8423d26d8	194	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/3a/3afc00549fd9fb35573fa124af09a764728c2ff4a28cdc060b178caaa62e4546.npy
28	28	seq_c1777e6227d76319c19d0100236c07f5f45a2f60f4168899512fb5a3ad4e0c43	0	existing_challenge	seq_c1777e6227d76319c19d0100236c07f5f45a2f60f4168899512fb5a3ad4e0c43	128	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/38/384d680211c880f92498f045b4646f6c078333c659fb4bad98b4514996910c6e.npy
29	29	seq_b0cc556b9f1bba0ffc715a3dca8fdd632c33d94e0728e6a20fcdcc4de15b4b26	0	existing_challenge	seq_b0cc556b9f1bba0ffc715a3dca8fdd632c33d94e0728e6a20fcdcc4de15b4b26	322	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/15/15290da73058856a2f985eb4f56bce817f025231654697b4752595718539f565.npy
30	30	seq_fc3f5bcc60ec55fd6cfcd255816328de53d37e4058cb6855fcdccd13575cd496	0	existing_challenge	seq_fc3f5bcc60ec55fd6cfcd255816328de53d37e4058cb6855fcdccd13575cd496	201	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/cd/cde35aca719f372162bc0f986a399848f9e894bf6dceece9abf53e1cb003cbb2.npy
31	31	seq_d17c2b8dd5017d35132db24d2fa4df30d3ab4cc35f058edf9cbbcc2816b95c1d	0	existing_challenge	seq_d17c2b8dd5017d35132db24d2fa4df30d3ab4cc35f058edf9cbbcc2816b95c1d	84	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/9a/9a080b7c2fdbbe52cbb3cbf6952b1d7d18ce6b16e3350b0a5850562aa6bb3c34.npy
32	32	seq_aa8eb21a55b9dd1e3cc3b43829266a996b38a8a8883d7900014e91fd6c841264	0	existing_challenge	seq_aa8eb21a55b9dd1e3cc3b43829266a996b38a8a8883d7900014e91fd6c841264	314	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/ef/efa5f4828804e890883e57a47614188cbbab2bcf0e090eb14fa5ad6d85634293.npy
33	33	seq_3cbf8583c8f4d6005109de4cf4ce1bd9a3c9686da71018de3fe074934fa8339b	0	existing_challenge	seq_3cbf8583c8f4d6005109de4cf4ce1bd9a3c9686da71018de3fe074934fa8339b	414	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/c9/c93f1461840e29db7c722d4369d0a6de2b583e03d2695067585c50c22753bff2.npy
34	34	seq_af239d57f7f19f7efb03946831d39714ff5a784fd7bb78a5dd6e012e1e217523	0	existing_challenge	seq_af239d57f7f19f7efb03946831d39714ff5a784fd7bb78a5dd6e012e1e217523	195	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/a7/a72d6519cebda4bf7fe2d419cc25f90a764c17c6be576a4d15ef61b0e7d056e2.npy
35	35	seq_2eec0ecbcf047c31bdba1824d21bbcc11c7aee17d35f30b99e61d6dcc96c06e5	0	existing_challenge	seq_2eec0ecbcf047c31bdba1824d21bbcc11c7aee17d35f30b99e61d6dcc96c06e5	417	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/2c/2cbefa5a6f3a9effe3aa3a6035c5ea82733417151b4f3eee36d4198e07d9b7d7.npy
36	36	seq_82876365b65f3248eb69176c79056f2601c5cf24a1841b171ee81b2d0de2ed90	0	existing_challenge	seq_82876365b65f3248eb69176c79056f2601c5cf24a1841b171ee81b2d0de2ed90	232	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/2f/2f50c104a2af4873f94042d7364246911e735728cc7ee0246b859689ec4bbd0d.npy
37	37	seq_ae1ff32971e16309bec7f0dac9e47ae808fd165352ea75ad8d34b94cb9d4a5ce	0	existing_challenge	seq_ae1ff32971e16309bec7f0dac9e47ae808fd165352ea75ad8d34b94cb9d4a5ce	323	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/fc/fcda9a66f52d5c4d29c25000bc7ce8e579a06ccc37385ad52ee1ac3bbac9e0b2.npy
38	38	seq_6ca27ba5cfbe8d3ec59f00ffd4dfdbf80797a47c809256637437139b632401ed	0	existing_challenge	seq_6ca27ba5cfbe8d3ec59f00ffd4dfdbf80797a47c809256637437139b632401ed	276	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/95/958e48a9d6dbcb4a47676f3998cc6d132f2de37e57c4eca8efe15185320731c9.npy
39	39	seq_5e33e1515df57dd5fc86b1c402b12ff848a6166716882bf2678f69314898a982	0	existing_challenge	seq_5e33e1515df57dd5fc86b1c402b12ff848a6166716882bf2678f69314898a982	215	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/e2/e29034788cd556701bff8040af10563113e69ff8aa22041398bbeb9b90f48cd0.npy
40	40	seq_3ebf83aa53365e07cfaa0a2ca660be5a9a1bb91856fc76b6d831b711c5f899ba	0	existing_challenge	seq_3ebf83aa53365e07cfaa0a2ca660be5a9a1bb91856fc76b6d831b711c5f899ba	740	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/93/93a1862cf7d27257f6b8ec7eb9a0454e91974dda6fcb968e2a80c02041779cb6.npy
41	41	seq_2d0c473b12b4fcff1e6496302a0e7763a838415484c16b7a61130a1798995993	0	existing_challenge	seq_2d0c473b12b4fcff1e6496302a0e7763a838415484c16b7a61130a1798995993	229	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/51/51a7b31983c6e14726ace083aa752a32a76d95cb273481e00c1738621d80a145.npy
42	42	seq_0f2495c33f86762707bc04d0f4f95e74e6d397472d25cc326a05b7a90a03b3be	0	existing_challenge	seq_0f2495c33f86762707bc04d0f4f95e74e6d397472d25cc326a05b7a90a03b3be	266	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/57/57a5bd13a8d6129bc91add6ea4bd594d44ed22fc15f3bc8e0aa9bc7d0485b0f2.npy
43	43	seq_0ade13af51cab6942c988aee4a76fe93e40e2a1f4279075b85f5a1407acd20c6	0	existing_challenge	seq_0ade13af51cab6942c988aee4a76fe93e40e2a1f4279075b85f5a1407acd20c6	111	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/8d/8d53d8c27ea6b95c06f27e8c90be0e37913a4fea9c9a7e48672cabb244a1ba01.npy
44	44	seq_3f5c8e49a3aba54a757a872dedcc17f116c737ea997025e5c70e3adaf749bc35	0	existing_challenge	seq_3f5c8e49a3aba54a757a872dedcc17f116c737ea997025e5c70e3adaf749bc35	193	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/2c/2cbfe8a8d837e033ede237fa24da8cf24786e87211253578a0988b7d57bd9e79.npy
45	45	seq_af5e463ce6cfaaaf9434085749762ef417fc5606d29cf884caeb7f621b57cd5c	0	existing_challenge	seq_af5e463ce6cfaaaf9434085749762ef417fc5606d29cf884caeb7f621b57cd5c	1692	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/31/31b4e22578517111bf4866cc912ea1d9173f8fedcf9dcaf7ad45d58d7d8fd0ac.npy
46	46	seq_f1eb6a50d114eba63dec7ba248706eef22fe536a6768c2a8e4125364031bdfcb	0	existing_challenge	seq_f1eb6a50d114eba63dec7ba248706eef22fe536a6768c2a8e4125364031bdfcb	48	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/5b/5b33e16ce9833daa9879ea7430424eca314b78a22d26f5a9e887cca1581147a5.npy
47	47	seq_bda3fd0f36a46ae0b0e6a0783430a191fa978192019b68ab027b1da22f488923	0	existing_challenge	seq_bda3fd0f36a46ae0b0e6a0783430a191fa978192019b68ab027b1da22f488923	169	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/53/53a7e149c68f0d654c37f13545924960d34b57b6a715feaec5d934d3310c7abd.npy
48	48	seq_0ece004951f7a2c6b4ef338440b16cd2011c221576d49f264658e4b7d70fa8c1	0	existing_challenge	seq_0ece004951f7a2c6b4ef338440b16cd2011c221576d49f264658e4b7d70fa8c1	391	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/3a/3a54e254e5253c07ef1a26ceb595f709e7bb6e4bd67e9a924a9e234f9e114269.npy
49	49	seq_8a7a0576b47db4c49339df4512d6ab467c8a5a531805b5ae4fe89515a1212c05	0	existing_challenge	seq_8a7a0576b47db4c49339df4512d6ab467c8a5a531805b5ae4fe89515a1212c05	201	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/ce/ce7d5358c6dbaa34b57f5d50840369e9842c57cf5962403ee56134ea907a57b4.npy
50	50	seq_908cbea0703fff5e9340886c474a78ddd07f2cb5dc074531f16565ce53810ab7	0	existing_challenge	seq_908cbea0703fff5e9340886c474a78ddd07f2cb5dc074531f16565ce53810ab7	235	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/50/502a69ef9970773f07c0fb16590a732edaf1162954a5ae97a10c91011988d71f.npy
51	51	seq_5299cb45b457ebde87a42c1fa45b200e5643b8e795607493cd0ab2f7a210aea1	0	existing_challenge	seq_5299cb45b457ebde87a42c1fa45b200e5643b8e795607493cd0ab2f7a210aea1	111	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/b6/b6382177511a85b1785a4219951428d955c68aba9a6d9a00e8f17617ebda9474.npy
52	52	seq_9a5cec593f17beeccb9b8bb5207efdf54be4b2285110f76c0e1368f5dd98407b	0	existing_challenge	seq_9a5cec593f17beeccb9b8bb5207efdf54be4b2285110f76c0e1368f5dd98407b	475	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/fb/fb6e2ec0a51cba248efb76594447c8d35659d2d0ea434690caf511ce89134494.npy
53	53	seq_9dc75282f2ed31a356f5b95c17c4b1e70a8861e372b98f95e5f131dfa617c831	0	existing_challenge	seq_9dc75282f2ed31a356f5b95c17c4b1e70a8861e372b98f95e5f131dfa617c831	367	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/bd/bda72fd4697cea1ad870a4960bd14ab09a4e5f764d5ae63043737d805d5caaf0.npy
54	54	seq_ec23eda49fdb1f3802308243cfbdccb9baed76d6105f7528df11f25c3b6e1371	0	existing_challenge	seq_ec23eda49fdb1f3802308243cfbdccb9baed76d6105f7528df11f25c3b6e1371	198	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/fc/fcfb202b42bbb605771ecb975597c45a191507b22c0ce89d43451fbd6344589a.npy
55	55	seq_fd9278e7c3e7b8d36e7dcec08003c128313b4d26752a04e8c57dea4743520dea	0	existing_challenge	seq_fd9278e7c3e7b8d36e7dcec08003c128313b4d26752a04e8c57dea4743520dea	172	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/a2/a268113217f219e8f442c0e0a1903dccd81bfe1dec54b255815741ee9d217cc1.npy
56	56	seq_dd0dc20cb7aaea76c56b03ac8c6c73369c9f82eb618806d6122b41d9bc095f26	0	existing_challenge	seq_dd0dc20cb7aaea76c56b03ac8c6c73369c9f82eb618806d6122b41d9bc095f26	157	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/6d/6dc0d8160432194a4a3de29da813e1840237c83128b647f8ee8577105d84390c.npy
57	57	seq_b40d3376cb380efc96237eb9996363163a361783e0e2e67c2eeef141230f2aea	0	existing_challenge	seq_b40d3376cb380efc96237eb9996363163a361783e0e2e67c2eeef141230f2aea	389	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/fd/fdf701c03754258c3635c8fb9fc2714943729299476aeb3e4b807e2888f0eabb.npy
58	58	seq_33a6dff7ce97e9df9e9f65ae96102602d8d3e68ec6e780c4995b0dffdc4b90b7	0	existing_challenge	seq_33a6dff7ce97e9df9e9f65ae96102602d8d3e68ec6e780c4995b0dffdc4b90b7	150	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/77/77920b72e2595597070e46ecbe4ab0fc037057c174e17568069cc56a10e07e70.npy
59	59	seq_82e1ac3319ad0ae34210f1c6624038fb799fd8d22d57a9f4d1eb0c4205b38152	0	existing_challenge	seq_82e1ac3319ad0ae34210f1c6624038fb799fd8d22d57a9f4d1eb0c4205b38152	243	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/cd/cde49d0e8a0dcb7feb4c6dce76abb9b1aaa92ec3ad8dff428fc59bc4d818e59d.npy
60	60	seq_c87c4ae102686ad2b7cd003c0e7ab54989b0d1dca231bd1c3afa900e387320f5	0	existing_challenge	seq_c87c4ae102686ad2b7cd003c0e7ab54989b0d1dca231bd1c3afa900e387320f5	350	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/35/35dce6e4f014de16159516b48213a14dd0acf3a0450a63c2bc3fe55e3ac439b0.npy
61	61	seq_b2b57b936c7718c3f3f594f7822541bb3af0b059974cb9e22272a9301eb4b987	0	existing_challenge	seq_b2b57b936c7718c3f3f594f7822541bb3af0b059974cb9e22272a9301eb4b987	51	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/65/656b58a7b06ba37ac33a0d6bfc7d5e96b8eb7607d47cd3d0324bc08e2103bbbd.npy
62	62	seq_70a9149cb8046caac56cabf1b6ef85f7e711f297c0910a305e6f149108a845a3	0	existing_challenge	seq_70a9149cb8046caac56cabf1b6ef85f7e711f297c0910a305e6f149108a845a3	611	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/40/400549474920cc3573a506ae10b7efa5bc6b9a5a9c0128a170e0b30f370986c8.npy
63	63	seq_0e7b842025503c2d5d35e797bfac2035cd0c179ca833cce5c6987c791c58223b	0	existing_challenge	seq_0e7b842025503c2d5d35e797bfac2035cd0c179ca833cce5c6987c791c58223b	81	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/0b/0be5ce63888884fc25956bbd951878308c2c25329499e7213569b375338674ba.npy
64	64	seq_e72deba68c769dd385be8edb1feba3b457dec591915aa04889fb248143975504	0	existing_challenge	seq_e72deba68c769dd385be8edb1feba3b457dec591915aa04889fb248143975504	79	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/40/40886a45e27210c93e72815f6d4f272637a97692923080d34d1ebb667b8d813e.npy
65	65	seq_65a874a67e3002511ac61ef0c20f9384f8d4a6cbe5676f3c283554842d2eb1cc	0	existing_challenge	seq_65a874a67e3002511ac61ef0c20f9384f8d4a6cbe5676f3c283554842d2eb1cc	351	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/be/bea8efd6dda89ece4d5540fd2fe3a2d183235eb03df758d25738ec1b1de4ac46.npy
66	66	seq_58e10ad26e6331ab9aa9d537f2b0d8f0de196253b2328ab710389f3ab97e0042	0	existing_challenge	seq_58e10ad26e6331ab9aa9d537f2b0d8f0de196253b2328ab710389f3ab97e0042	169	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/b9/b9387e26c0e4085cad0990e5c375b183e220d2ace775d95dac409ae30a38c169.npy
67	67	seq_132f49b333c0e29fb907423d3a85f8aa56b192f221812f79c2bb3ae626c76c69	0	existing_challenge	seq_132f49b333c0e29fb907423d3a85f8aa56b192f221812f79c2bb3ae626c76c69	74	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/40/40cfe4ef1fd8308f81104f0f875a571572bb2fe98c1a37dd2d4430ecc2cc74e7.npy
68	68	seq_ea3aeb23fea2252d4ad9c7d3b565435918a468dcd73c3545db458ba6b760065a	0	existing_challenge	seq_ea3aeb23fea2252d4ad9c7d3b565435918a468dcd73c3545db458ba6b760065a	136	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/60/600c7d7b06c922ee868714558a2dbe86e4c4fe8838b69f75da629214795d06cc.npy
69	69	seq_2723bd99899801f4949196e264cafe918dce7507f434570ce99aeb3881b40e38	0	existing_challenge	seq_2723bd99899801f4949196e264cafe918dce7507f434570ce99aeb3881b40e38	235	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/b4/b40c8e85ac77dbc64589aedd77a946282fdc1d3c14c8c7aff549dde0b5ca7b43.npy
70	70	seq_e7bb164052452ed1197a2fe4cd215237c2b3b5ed4f0e6fe8328bc266489f4779	0	existing_challenge	seq_e7bb164052452ed1197a2fe4cd215237c2b3b5ed4f0e6fe8328bc266489f4779	90	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/66/665ebe60ae222ceb5917c32a0dfe410a06f2a6c2e02532c71d55fda379cce354.npy
71	71	seq_fbd3b9ca19d5ee1554a03586adb224d96e8871343f9642d72a0878b4c8c22caf	0	existing_challenge	seq_fbd3b9ca19d5ee1554a03586adb224d96e8871343f9642d72a0878b4c8c22caf	340	/home/lvfang/ESMC_halophile/R3_existing_challenge_v1_output/esm2/records/ed/ed4d9af65842398dd5e4f5e5a015b916395c604ed02fa99ba4d13429c7bd84c4.npy
